onnx_name,mac_ori,ori_peak_mem,peak_after_ourTS_bal,peak_after_tinyTS,peak_after_tinynas,reduction_ourTS_bal,reduction_tinyTS,reduction_tinynas,needTS,valid_ourTS_bal,valid_tinyTS,valid_tinynas,TSwork_ourTS_bal,TSwork_tinyTS,TSwork_tinynas
w0.2_ir128_subnet_ID142,172701696,245760,245760,-1,245760,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID143,34940928,131072,131072,-1,131072,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID144,27999744,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID145,32827392,131072,131072,-1,131072,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID146,77979136,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID147,40971392,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID148,54960128,311296,311296,311296,311296,0.00%,0.00%,0.00%,1,0,0,0,0,0,0
w0.2_ir128_subnet_ID149,33454080,245760,245760,-1,245760,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID15,69248512,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID150,30996480,245760,245760,-1,245760,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID151,25600000,131072,131072,-1,131072,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID152,66787840,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID153,23248896,245760,245760,-1,245760,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID154,63442432,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID155,23117824,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID156,112656384,311296,311296,311296,311296,0.00%,0.00%,0.00%,1,0,0,0,0,0,0
