onnx_name,mac_ori,ori_peak_mem,peak_after_ourTS_bal,peak_after_tinyTS,peak_after_tinynas,reduction_ourTS_bal,reduction_tinyTS,reduction_tinynas,needTS,valid_ourTS_bal,valid_tinyTS,valid_tinynas,TSwork_ourTS_bal,TSwork_tinyTS,TSwork_tinynas
w0.5_ir128_subnet_ID3,654802944,540672,540672,393216,540672,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID30,780435456,540672,540672,393216,540672,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID31,351633408,540672,540672,393216,540672,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID32,104497152,270336,270336,196608,270336,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID33,215973888,270336,270336,196608,270336,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID34,1641578496,2162688,2162688,1572864,2162688,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID35,644923392,540672,540672,393216,540672,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID36,86581248,196608,98304,196608,117760,50.00%,0.00%,40.10%,1,1,0,0,1,0,0
w0.5_ir128_subnet_ID37,177340416,270336,270336,196608,270336,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID38,474316800,540672,540672,393216,540672,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID39,56721408,196608,98304,196608,117760,50.00%,0.00%,40.10%,1,1,0,0,1,0,0
w0.5_ir128_subnet_ID4,939982848,2162688,2162688,1572864,2162688,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID40,886603776,2162688,2162688,1572864,2162688,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID41,159424512,393216,393216,393216,393216,0.00%,0.00%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID42,152272896,233472,204800,196608,233472,12.28%,15.79%,0.00%,1,0,0,0,0,0,0
w0.5_ir128_subnet_ID43,647503872,540672,540672,393216,540672,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
