wm,ir,name,cpb,max_features,flops_sum
0.25,96,mbv2-im100-vm96-dupnas,"[[6, 3, 1], [6, 3, 2], [4, 5, 2], [3, 3, 2]]",607072,90056256
0.25,128,mbv2-im100-vm128-dupnas,"[[4, 3, 2], [3, 3, 2], [4, 3, 2], [4, 5, 2]]",920552,168393664
0.25,128,mbv2-im100-vm256-dupnas,"[[4, 3, 2], [4, 3, 2], [3, 5, 1], [4, 5, 2]]",868928,157739968
